country_code,year,life_expectancy,country_name
CHN,1990,68.155,China
CHN,1991,68.61,China
CHN,1992,69.059,China
CHN,1993,69.492,China
CHN,1994,69.835,China
CHN,1995,70.363,China
CHN,1996,70.823,China
CHN,1997,71.227,China
CHN,1998,71.601,China
CHN,1999,71.952,China
CHN,2000,72.288,China
CHN,2001,72.675,China
CHN,2002,73.034,China
CHN,2003,73.385,China
CHN,2004,73.727,China
CHN,2005,74.085,China
CHN,2006,74.404,China
CHN,2007,74.789,China
CHN,2008,74.833,China
CHN,2009,75.317,China
CHN,2010,75.668,China
CHN,2011,75.889,China
CHN,2012,76.2,China
CHN,2013,76.452,China
CHN,2014,76.714,China
CHN,2015,76.975,China
CHN,2016,77.214,China
CHN,2017,77.235,China
CHN,2018,77.709,China
CHN,2019,77.94,China
CHN,2020,78.019,China
CHN,2021,78.117,China
CHN,2022,78.202,China
IDN,1990,63.249,Indonesia
IDN,1991,63.703,Indonesia
IDN,1992,64.182,Indonesia
IDN,1993,64.851,Indonesia
IDN,1994,65.041,Indonesia
IDN,1995,65.263,Indonesia
IDN,1996,65.465,Indonesia
IDN,1997,65.774,Indonesia
IDN,1998,65.942,Indonesia
IDN,1999,66.001,Indonesia
IDN,2000,66.292,Indonesia
IDN,2001,66.583,Indonesia
IDN,2002,66.954,Indonesia
IDN,2003,67.134,Indonesia
IDN,2004,65.521,Indonesia
IDN,2005,67.531,Indonesia
IDN,2006,67.664,Indonesia
IDN,2007,67.914,Indonesia
IDN,2008,68.085,Indonesia
IDN,2009,68.267,Indonesia
IDN,2010,68.364,Indonesia
IDN,2011,68.629,Indonesia
IDN,2012,68.862,Indonesia
IDN,2013,69.064,Indonesia
IDN,2014,69.292,Indonesia
IDN,2015,69.52,Indonesia
IDN,2016,69.733,Indonesia
IDN,2017,69.953,Indonesia
IDN,2018,70.08,Indonesia
IDN,2019,70.349,Indonesia
IDN,2020,68.817,Indonesia
IDN,2021,67.452,Indonesia
IDN,2022,70.925,Indonesia
JPN,1990,78.8370731707317,Japan
JPN,1991,79.0368292682927,Japan
JPN,1992,79.080243902439,Japan
JPN,1993,79.3036585365854,Japan
JPN,1994,79.6968292682927,Japan
JPN,1995,79.5360975609756,Japan
JPN,1996,80.219756097561,Japan
JPN,1997,80.4241463414634,Japan
JPN,1998,80.5014634146342,Japan
JPN,1999,80.4609756097561,Japan
JPN,2000,81.0760975609756,Japan
JPN,2001,81.4163414634146,Japan
JPN,2002,81.6907317073171,Japan
JPN,2003,81.76,Japan
JPN,2004,82.030243902439,Japan
JPN,2005,81.9551219512195,Japan
JPN,2006,82.3219512195122,Japan
JPN,2007,82.5070731707317,Japan
JPN,2008,82.5875609756098,Japan
